,logFC,logCPM,F,PValue,FDR
NUF2,0.8650519529609,5.26384077222768,56.4300339574744,1.14390641150192e-07,7.08148193250662e-07
P4HB,-0.841643517313934,9.38365004419162,56.3920746132196,1.15037036976025e-07,7.11500052611788e-07
ZCCHC7,0.767468927472287,5.21651318157032,56.3917740134306,1.1504217158894e-07,7.11500052611788e-07
RNFT1,-1.03168560248365,3.46356984331638,56.3474820991665,1.15801459710463e-07,7.1585349986487e-07
PRR5L,-1.57952556456748,3.2433865664348,56.2914954609537,1.16769028019475e-07,7.21489701806759e-07
GMPS,0.841061451130732,7.72363873244075,56.2787495703254,1.16990529235843e-07,7.22512938797185e-07
ANGPT2,-5.78061649743621,5.70917655412854,56.2272706595911,1.17889798262224e-07,7.27718974373213e-07
CX3CL1,2.67853517179651,2.15015039255211,56.2206485421342,1.18006022015863e-07,7.27973335782387e-07
EMC7,-0.689662022208809,5.73467112308522,56.2185065948519,1.18043641637002e-07,7.27973335782387e-07
SUCLG2,0.584428094180544,6.40919499315242,56.2083875492533,1.18221541521028e-07,7.28722768574536e-07
GLMN,-0.977695408544534,5.50820665955089,56.1940543429791,1.18474027934717e-07,7.29639695837478e-07
PLEKHB1,-1.60509659221641,5.08922127201547,56.1935348194225,1.18483190589731e-07,7.29639695837478e-07
MAPK4,2.24583622410878,1.88686024510603,56.1453271130228,1.193367722712e-07,7.34546246846441e-07
GYS1,-0.719053471599203,6.62248947055366,56.1314358425392,1.19583973848717e-07,7.35645215139142e-07
MYL3,-5.02959897387461,1.77231155387936,56.1289012349185,1.19629138343066e-07,7.35645215139142e-07
RGS10,2.12948569064282,2.37125704838517,56.122766866853,1.19738524139625e-07,7.35967742762146e-07
DVL2,-0.589411054082464,6.62504787824357,56.1102604820668,1.19961870118681e-07,7.36990082297559e-07
ESD,0.628068433502238,6.59754120213804,56.094861520347,1.20237495241185e-07,7.38332476716182e-07
CORO6,2.851563461424,1.92823398597919,56.0901705316623,1.20321595624394e-07,7.38498074568339e-07
TNR,-5.34595912483984,1.54981021776485,60.2850678525603,1.20631843562621e-07,7.40050882719713e-07
SLC7A6,-0.948475386511974,5.21963016509097,56.0203744327077,1.21580483067741e-07,7.45516757179135e-07
PGM3,-0.85797217837701,6.77888693805192,56.0031433162041,1.2189347210495e-07,7.47081564925834e-07
FTL,-0.810780428496621,11.1026167104157,55.9804781050575,1.22306500613017e-07,7.49257737878606e-07
COQ2,0.677382237006718,5.00764048069554,55.9717699836415,1.22465592918712e-07,7.49876955976915e-07
PDGFB,-1.45351113382004,4.14574197812338,55.9588404089817,1.22702223563193e-07,7.50970142887234e-07
